Volume,Chapter,PDF_Paragraphs,Extracted_Paragraphs,Difference,Match_Percent
1,1,116,31,85,26.7
1,2,0,10,-10,0.0
1,3,0,4,-4,0.0
1,41,11,2,9,18.2
1,5,0,2,-2,0.0
1,6,0,1,-1,0.0
1,7,0,1,-1,0.0
1,8,0,2,-2,0.0
1,9,0,3,-3,0.0
1,10,1,1,0,100.0
1,11,1,1,0,100.0
1,12,4,2,2,50.0
1,13,9,3,6,33.3
1,14,2,1,1,50.0
1,15,2,1,1,50.0
1,16,3,1,2,33.3
1,17,2,3,-1,150.0
1,18,1,1,0,100.0
1,19,1,2,-1,200.0
1,20,1,1,0,100.0
1,21,1,2,-1,200.0
1,22,0,1,-1,0.0
1,23,2,2,0,100.0
1,24,2,1,1,50.0
1,25,4,4,0,100.0
1,26,5,3,2,60.0
1,27,3,1,2,33.3
1,28,2,1,1,50.0
1,29,4,1,3,25.0
1,30,3,2,1,66.7
1,31,2,1,1,50.0
1,32,5,2,3,40.0
1,33,2,1,1,50.0
1,34,5,1,4,20.0
1,35,2,1,1,50.0
1,36,5,3,2,60.0
1,37,3,1,2,33.3
1,38,6,1,5,16.7
1,39,5,1,4,20.0
1,40,2,2,0,100.0
1,42,2,1,1,50.0
1,43,3,2,1,66.7
1,44,1,1,0,100.0
1,45,4,1,3,25.0
1,46,6,1,5,16.7
1,47,3,1,2,33.3
1,48,4,2,2,50.0
1,49,3,1,2,33.3
1,50,1,1,0,100.0
1,51,4,1,3,25.0
1,52,6,1,5,16.7
1,53,10,2,8,20.0
1,54,2,1,1,50.0
1,55,4,4,0,100.0
1,56,2,1,1,50.0
1,57,10,6,4,60.0
1,58,7,1,6,14.3
1,59,10,5,5,50.0
1,60,8,3,5,37.5
1,61,8,4,4,50.0
1,62,2,1,1,50.0
1,63,2,1,1,50.0
1,64,5,2,3,40.0
1,65,4,2,2,50.0
1,66,3,2,1,66.7
1,67,6,1,5,16.7
1,68,4,1,3,25.0
1,69,3,2,1,66.7
1,70,5,2,3,40.0
1,71,6,1,5,16.7
1,72,2,1,1,50.0
1,73,2,2,0,100.0
1,74,1,1,0,100.0
1,75,2,3,-1,150.0
1,76,2,3,-1,150.0
1,77,2,3,-1,150.0
1,78,4,5,-1,125.0
1,79,2,3,-1,150.0
1,80,3,4,-1,133.3
1,81,2,3,-1,150.0
1,82,1,2,-1,200.0
1,83,5,6,-1,120.0
1,84,4,5,-1,125.0
1,85,13,14,-1,107.7
1,86,5,6,-1,120.0
1,87,11,12,-1,109.1
1,88,18,18,0,100.0
1,89,4,5,-1,125.0
1,90,7,8,-1,114.3
1,91,2,3,-1,150.0
1,92,5,6,-1,120.0
1,93,6,7,-1,116.7
1,94,9,10,-1,111.1
1,95,2,3,-1,150.0
1,96,6,7,-1,116.7
1,97,1,2,-1,200.0
1,98,2,3,-1,150.0
1,99,3,5,-2,166.7
1,100,2,3,-1,150.0
1,101,4,5,-1,125.0
1,102,2,3,-1,150.0
1,103,3,4,-1,133.3
1,104,2,3,-1,150.0
1,105,2,4,-2,200.0
1,106,2,3,-1,150.0
1,107,4,5,-1,125.0
1,108,2,3,-1,150.0
1,109,3,4,-1,133.3
1,110,4,5,-1,125.0
1,111,2,3,-1,150.0
1,112,2,3,-1,150.0
1,113,2,3,-1,150.0
1,114,3,5,-2,166.7
1,115,3,4,-1,133.3
1,116,2,3,-1,150.0
1,117,1,3,-2,300.0
1,118,3,4,-1,133.3
1,119,4,5,-1,125.0
1,120,1,3,-2,300.0
1,121,3,4,-1,133.3
1,122,4,5,-1,125.0
1,123,8,7,1,87.5
1,124,4,5,-1,125.0
1,125,4,5,-1,125.0
1,126,5,6,-1,120.0
1,127,2,3,-1,150.0
1,128,2,3,-1,150.0
1,129,2,3,-1,150.0
1,130,2,3,-1,150.0
1,131,2,3,-1,150.0
1,132,2,3,-1,150.0
1,133,3,4,-1,133.3
1,134,2,3,-1,150.0
1,135,2,3,-1,150.0
1,136,2,3,-1,150.0
1,137,2,3,-1,150.0
1,138,5,4,1,80.0
1,139,2,3,-1,150.0
1,140,1,2,-1,200.0
1,141,2,3,-1,150.0
1,142,3,4,-1,133.3
1,143,4,5,-1,125.0
1,144,3,3,0,100.0
1,145,7,8,-1,114.3
1,146,3,4,-1,133.3
1,147,1,2,-1,200.0
1,148,2,3,-1,150.0
1,149,3,4,-1,133.3
1,150,3,4,-1,133.3
1,151,1,3,-2,300.0
1,152,4,3,1,75.0
1,153,2,3,-1,150.0
1,154,2,3,-1,150.0
1,155,6,7,-1,116.7
1,156,2,3,-1,150.0
1,157,1,2,-1,200.0
1,158,9,10,-1,111.1
1,159,2,3,-1,150.0
1,160,6,7,-1,116.7
1,161,2,3,-1,150.0
1,162,1,2,-1,200.0
1,163,3,4,-1,133.3
1,164,2,3,-1,150.0
1,165,5,6,-1,120.0
1,166,4,5,-1,125.0
1,167,2,4,-2,200.0
1,168,3,4,-1,133.3
1,169,3,4,-1,133.3
1,170,1,2,-1,200.0
1,171,2,3,-1,150.0
1,172,1,2,-1,200.0
1,173,5,4,1,80.0
1,174,2,3,-1,150.0
1,175,2,3,-1,150.0
1,176,4,5,-1,125.0
1,177,2,3,-1,150.0
1,178,3,4,-1,133.3
1,179,2,3,-1,150.0
1,180,2,3,-1,150.0
1,181,4,5,-1,125.0
1,182,3,4,-1,133.3
1,183,0,2,-2,0.0
1,184,3,4,-1,133.3
1,185,5,4,1,80.0
1,186,3,4,-1,133.3
1,187,3,4,-1,133.3
1,188,4,5,-1,125.0
1,189,4,7,-3,175.0
1,190,2,4,-2,200.0
1,191,4,3,1,75.0
1,192,4,5,-1,125.0
1,193,1,2,-1,200.0
1,194,2,3,-1,150.0
1,195,1,2,-1,200.0
1,196,2,3,-1,150.0
1,197,2,3,-1,150.0
1,198,4,4,0,100.0
1,199,5,8,-3,160.0
2,200,2,5,-3,250.0
2,201,3,4,-1,133.3
2,202,2,3,-1,150.0
2,203,2,3,-1,150.0
2,204,5,6,-1,120.0
2,205,3,4,-1,133.3
2,206,4,5,-1,125.0
2,207,1,2,-1,200.0
2,208,2,3,-1,150.0
2,209,3,4,-1,133.3
2,210,4,3,1,75.0
2,211,2,3,-1,150.0
2,212,4,4,0,100.0
2,213,9,9,0,100.0
2,214,3,4,-1,133.3
2,215,1,2,-1,200.0
2,216,2,3,-1,150.0
2,217,1,2,-1,200.0
2,218,5,6,-1,120.0
2,219,3,4,-1,133.3
2,220,2,4,-2,200.0
2,221,2,3,-1,150.0
2,222,6,6,0,100.0
2,223,8,10,-2,125.0
2,224,2,3,-1,150.0
2,225,6,5,1,83.3
2,226(1),1,2,-1,200.0
2,227(2),1,2,-1,200.0
2,228(3),3,4,-1,133.3
2,229(4),1,2,-1,200.0
2,230(5),10,11,-1,110.0
2,231(6),0,1,-1,0.0
2,232(7),1,2,-1,200.0
2,233(8),1,2,-1,200.0
2,234(9),0,2,-2,0.0
2,235(10),1,2,-1,200.0
2,236(11),6,6,0,100.0
2,237(12),2,4,-2,200.0
2,238(13),3,5,-2,166.7
2,239(14),1,3,-2,300.0
2,240(15),1,2,-1,200.0
2,241(16),4,5,-1,125.0
2,242(17),5,4,1,80.0
2,243(18),2,3,-1,150.0
2,244(19),4,5,-1,125.0
2,245(20),3,4,-1,133.3
2,246(21),2,3,-1,150.0
2,247(22),7,6,1,85.7
2,248(23),2,3,-1,150.0
2,249(24),1,2,-1,200.0
2,250(25),2,3,-1,150.0
2,251(26),1,2,-1,200.0
2,252(27),2,3,-1,150.0
2,253(28),7,8,-1,114.3
2,254(29),4,3,1,75.0
2,255(30),6,7,-1,116.7
2,256(31),3,4,-1,133.3
2,257(32),3,2,1,66.7
2,258(33),2,3,-1,150.0
2,259(34),2,3,-1,150.0
2,260(35),1,2,-1,200.0
2,261(36),3,2,1,66.7
2,262(37),0,1,-1,0.0
2,263(38),3,4,-1,133.3
2,264(39),1,2,-1,200.0
2,265(40),1,2,-1,200.0
2,266(41),3,4,-1,133.3
2,267(42),7,6,1,85.7
2,268(43),2,3,-1,150.0
2,269(44),4,6,-2,150.0
2,270(45),4,5,-1,125.0
2,271(46),2,4,-2,200.0
2,272(47),2,3,-1,150.0
2,273(48),2,3,-1,150.0
2,274(49),1,2,-1,200.0
2,275(50),1,2,-1,200.0
2,276(51),7,8,-1,114.3
2,277(52),10,11,-1,110.0
2,278(53),11,12,-1,109.1
2,279(54),17,13,4,76.5
2,280(55),0,2,-2,0.0
2,281(56),0,1,-1,0.0
2,282(57),1,2,-1,200.0
2,283(58),27,20,7,74.1
2,284(59),1,2,-1,200.0
2,285(60),1,2,-1,200.0
2,286(61),4,6,-2,150.0
2,287(62),4,5,-1,125.0
2,288(63),11,12,-1,109.1
2,289(64),1,2,-1,200.0
2,290(65),4,3,1,75.0
2,291(66),4,5,-1,125.0
2,292(67),3,4,-1,133.3
2,293(68),2,4,-2,200.0
2,294(69),3,4,-1,133.3
2,295(70),0,2,-2,0.0
2,296(71),4,6,-2,150.0
2,297(72),4,3,1,75.0
2,298(1),3,4,-1,133.3
2,299(2),3,4,-1,133.3
2,300(3),3,4,-1,133.3
2,301(4),0,2,-2,0.0
2,302(5),3,4,-1,133.3
2,303(6),1,2,-1,200.0
2,304(7),1,2,-1,200.0
2,305(8),4,4,0,100.0
2,306(9),0,1,-1,0.0
2,307(10),2,3,-1,150.0
2,308(11),6,5,1,83.3
2,309(12),10,9,1,90.0
2,310(13),3,5,-2,166.7
2,311(14),0,1,-1,0.0
2,312(15),2,3,-1,150.0
2,313(16),1,2,-1,200.0
2,314(17),2,3,-1,150.0
2,315(18),2,3,-1,150.0
2,316(19),2,3,-1,150.0
2,317(20),1,2,-1,200.0
2,318(21),2,3,-1,150.0
2,319(22),2,3,-1,150.0
2,320(23),4,5,-1,125.0
2,321(24),1,2,-1,200.0
2,322(25),1,2,-1,200.0
2,323(26),1,2,-1,200.0
2,324(27),1,2,-1,200.0
2,325(28),1,2,-1,200.0
2,326(29),1,3,-2,300.0
2,327(30),4,5,-1,125.0
2,328(31),2,3,-1,150.0
2,329(32),2,3,-1,150.0
2,330(33),4,5,-1,125.0
2,331(34),4,5,-1,125.0
2,332(35),2,3,-1,150.0
2,333(36),2,3,-1,150.0
2,334(37),2,3,-1,150.0
2,335(38),3,4,-1,133.3
2,336(39),3,4,-1,133.3
2,337(40),4,5,-1,125.0
2,338(41),2,4,-2,200.0
2,339(42),6,5,1,83.3
2,340(43),3,4,-1,133.3
2,341(44),1,3,-2,300.0
2,342(45),1,3,-2,300.0
2,343(46),3,4,-1,133.3
2,344(47),1,2,-1,200.0
2,345(48),2,3,-1,150.0
2,346(49),5,6,-1,120.0
2,347(50),1,2,-1,200.0
2,348(51),1,2,-1,200.0
2,349(52),1,2,-1,200.0
2,350(53),1,2,-1,200.0
2,351(54),2,3,-1,150.0
2,352(55),1,2,-1,200.0
2,353(56),0,2,-2,0.0
2,354(57),1,2,-1,200.0
2,355(58),1,3,-2,300.0
2,356(59),1,2,-1,200.0
2,357(60),3,4,-1,133.3
2,358(61),8,9,-1,112.5
2,359(62),2,3,-1,150.0
2,360(63),1,3,-2,300.0
2,361(64),1,2,-1,200.0
2,362(65),2,3,-1,150.0
2,363(66),2,3,-1,150.0
2,364(67),2,3,-1,150.0
2,365(68),2,3,-1,150.0
2,366(69),2,3,-1,150.0
2,367(70),3,4,-1,133.3
2,368(71),3,4,-1,133.3
2,369(72),2,3,-1,150.0
2,370(73),2,3,-1,150.0
2,371(74),1,2,-1,200.0
2,372(75),3,4,-1,133.3
2,373(76),1,2,-1,200.0
2,374(77),2,3,-1,150.0
2,375(78),1,2,-1,200.0
2,376(79),2,3,-1,150.0
3,377(80),11,12,-1,109.1
3,378(81),10,13,-3,130.0
3,379(82),8,10,-2,125.0
3,380(83),7,9,-2,128.6
3,381(84),0,1,-1,0.0
3,382(85),1,2,-1,200.0
3,383(86),0,2,-2,0.0
3,384(87),0,1,-1,0.0
3,385(88),2,3,-1,150.0
3,386(89),1,2,-1,200.0
3,387(90),4,5,-1,125.0
3,388(91),1,2,-1,200.0
3,389(92),1,2,-1,200.0
3,390(93),1,2,-1,200.0
3,391(94),2,3,-1,150.0
3,392(95),2,3,-1,150.0
3,393(96),1,2,-1,200.0
3,394(97),1,2,-1,200.0
3,395(98),3,4,-1,133.3
3,396(99),1,2,-1,200.0
3,397(100),1,2,-1,200.0
3,398(101),2,3,-1,150.0
3,399(102),3,4,-1,133.3
3,400(103),2,3,-1,150.0
3,401(104),4,5,-1,125.0
3,402(105),2,3,-1,150.0
3,403(106),5,7,-2,140.0
3,404(107),1,2,-1,200.0
3,405(108),1,2,-1,200.0
3,406(109),3,4,-1,133.3
3,407(110),3,5,-2,166.7
3,408(111),6,7,-1,116.7
3,409(112),0,1,-1,0.0
3,410(113),2,3,-1,150.0
3,411(114),4,5,-1,125.0
3,412(115),2,3,-1,150.0
3,413(116),3,4,-1,133.3
3,414(117),3,4,-1,133.3
3,415(118),1,2,-1,200.0
3,416(119),1,2,-1,200.0
3,417(120),3,4,-1,133.3
3,418(121),3,4,-1,133.3
3,419(122),3,4,-1,133.3
3,420(123),2,3,-1,150.0
3,421(124),2,3,-1,150.0
3,422(125),2,3,-1,150.0
3,423(126),3,5,-2,166.7
3,424(127),2,3,-1,150.0
3,425(128),2,3,-1,150.0
3,426(129),2,3,-1,150.0
3,427(130),0,2,-2,0.0
3,428(131),9,11,-2,122.2
3,429(132),3,4,-1,133.3
3,430(133),18,20,-2,111.1
3,431(134),15,23,-8,153.3
3,432(135),4,5,-1,125.0
3,433(136),3,4,-1,133.3
3,434(137),2,3,-1,150.0
3,435(138),1,2,-1,200.0
3,436(139),3,4,-1,133.3
3,437(140),2,3,-1,150.0
3,438(141),5,6,-1,120.0
3,439(142),1,2,-1,200.0
3,440(143),2,3,-1,150.0
3,441(144),2,3,-1,150.0
3,442(145),4,5,-1,125.0
3,443(146),7,8,-1,114.3
3,444(147),2,3,-1,150.0
3,445(148),3,5,-2,166.7
3,446(149),3,4,-1,133.3
3,447(150),1,2,-1,200.0
3,448(151),0,2,-2,0.0
3,449(152),4,5,-1,125.0
3,450(153),5,4,1,80.0
3,451(154),6,6,0,100.0
3,452(155),4,6,-2,150.0
3,453(156),0,2,-2,0.0
3,454(157),5,6,-1,120.0
3,455(158),5,7,-2,140.0
3,456(159),2,3,-1,150.0
3,457(160),1,2,-1,200.0
3,458(161),3,4,-1,133.3
3,459(162),1,2,-1,200.0
3,460(163),3,4,-1,133.3
3,461(164),4,5,-1,125.0
3,462(165),1,2,-1,200.0
3,463(166),1,2,-1,200.0
3,464(167),1,2,-1,200.0
3,465(168),2,3,-1,150.0
3,466(169),1,2,-1,200.0
3,467(170),5,6,-1,120.0
3,468(171),3,4,-1,133.3
3,469(172),4,3,1,75.0
3,470(173),2,4,-2,200.0
3,471(174),1,2,-1,200.0
3,472(175),1,3,-2,300.0
3,473(176),3,4,-1,133.3
3,474(177),9,10,-1,111.1
3,475(178),14,14,0,100.0
3,476(179),1,2,-1,200.0
3,477(180),3,4,-1,133.3
3,478(181),2,3,-1,150.0
3,479(182),1,2,-1,200.0
